epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.5328,1.1549,0.99682,0.39114,0.30485,0.29244,0.16085,1.4559,1.0861,0.97106,0.0091288,0.0091288,0.0091288
46,1.5226,1.1461,0.99686,0.38999,0.30589,0.29406,0.16246,1.4558,1.0839,0.9694,0.009109,0.009109,0.009109
47,1.5145,1.1448,0.99559,0.39869,0.30239,0.29454,0.16358,1.4438,1.081,0.96688,0.0090892,0.0090892,0.0090892
48,1.5075,1.1376,0.99127,0.39236,0.3061,0.2945,0.16359,1.4484,1.0761,0.96631,0.0090694,0.0090694,0.0090694
49,1.4987,1.1269,0.98874,0.39628,0.30716,0.29706,0.16471,1.442,1.0725,0.96349,0.0090496,0.0090496,0.0090496
50,1.5052,1.1343,0.98821,0.40594,0.30566,0.29718,0.16335,1.4367,1.0693,0.96284,0.0090298,0.0090298,0.0090298
51,1.4925,1.1222,0.98772,0.39803,0.31156,0.29923,0.16479,1.4308,1.0679,0.96041,0.00901,0.00901,0.00901
52,1.4994,1.1227,0.98644,0.40279,0.3074,0.30009,0.16686,1.4264,1.0597,0.9589,0.0089902,0.0089902,0.0089902
53,1.4918,1.1193,0.98516,0.39659,0.31381,0.30261,0.16703,1.4232,1.0605,0.95811,0.0089704,0.0089704,0.0089704
54,1.4811,1.1081,0.98079,0.40349,0.31796,0.30418,0.16862,1.4196,1.0528,0.95824,0.0089506,0.0089506,0.0089506
55,1.483,1.1065,0.98257,0.41161,0.31323,0.30628,0.16933,1.4153,1.0486,0.95651,0.0089308,0.0089308,0.0089308
56,1.4803,1.103,0.97917,0.40914,0.3175,0.30813,0.1712,1.4112,1.0469,0.95443,0.008911,0.008911,0.008911
57,1.4717,1.1021,0.97927,0.4065,0.31432,0.30942,0.1722,1.4066,1.0401,0.95325,0.0088912,0.0088912,0.0088912
58,1.4733,1.097,0.97903,0.40004,0.32194,0.30778,0.17155,1.4095,1.0433,0.95361,0.0088714,0.0088714,0.0088714
59,1.4734,1.0968,0.9769,0.41058,0.32624,0.31395,0.17487,1.4089,1.0353,0.95272,0.0088516,0.0088516,0.0088516
60,1.475,1.0942,0.97727,0.41157,0.3261,0.31554,0.17537,1.4033,1.0334,0.95103,0.0088318,0.0088318,0.0088318
61,1.4642,1.084,0.97337,0.42121,0.32374,0.31616,0.17604,1.3944,1.0278,0.94992,0.008812,0.008812,0.008812
62,1.462,1.0846,0.9735,0.42082,0.32291,0.31637,0.17731,1.3932,1.0272,0.94851,0.0087922,0.0087922,0.0087922
63,1.4561,1.0816,0.97267,0.41998,0.32543,0.31737,0.17639,1.3894,1.0271,0.94831,0.0087724,0.0087724,0.0087724
64,1.4572,1.0788,0.97156,0.42653,0.32816,0.32033,0.17907,1.3891,1.0196,0.94704,0.0087526,0.0087526,0.0087526
65,1.4513,1.0755,0.97019,0.42639,0.32778,0.3218,0.18074,1.3901,1.0196,0.94709,0.0087328,0.0087328,0.0087328
66,1.4561,1.073,0.97079,0.41201,0.33281,0.3222,0.18036,1.3871,1.0189,0.94596,0.008713,0.008713,0.008713
67,1.4441,1.0689,0.96829,0.42071,0.33368,0.3242,0.18144,1.3815,1.015,0.94499,0.0086932,0.0086932,0.0086932
68,1.4447,1.0629,0.96597,0.42477,0.32907,0.32472,0.18228,1.3799,1.0104,0.94485,0.0086734,0.0086734,0.0086734
69,1.4353,1.0595,0.96724,0.42403,0.33206,0.32548,0.18222,1.3813,1.012,0.94608,0.0086536,0.0086536,0.0086536
70,1.4319,1.0532,0.96504,0.42568,0.33068,0.32204,0.18028,1.3795,1.0095,0.94506,0.0086338,0.0086338,0.0086338
71,1.4263,1.0515,0.96242,0.4266,0.33497,0.32655,0.18281,1.3736,1.0112,0.94447,0.008614,0.008614,0.008614
72,1.4284,1.0472,0.96336,0.43738,0.33062,0.32652,0.18305,1.3735,1.0072,0.94283,0.0085942,0.0085942,0.0085942
73,1.4311,1.0552,0.96289,0.43786,0.33322,0.33037,0.18444,1.3744,1.0067,0.94349,0.0085744,0.0085744,0.0085744
74,1.4281,1.0452,0.96174,0.43828,0.33406,0.33029,0.18521,1.3708,1.0005,0.94156,0.0085546,0.0085546,0.0085546
75,1.4278,1.0484,0.95881,0.43202,0.33726,0.33038,0.18596,1.3687,1.0035,0.94064,0.0085348,0.0085348,0.0085348
76,1.4224,1.0353,0.95859,0.43404,0.33733,0.33148,0.18686,1.3652,0.99652,0.94036,0.008515,0.008515,0.008515
77,1.4225,1.0422,0.95859,0.44397,0.3366,0.33315,0.18705,1.3641,0.99735,0.93927,0.0084952,0.0084952,0.0084952
78,1.4183,1.0354,0.95913,0.44216,0.33753,0.33511,0.18895,1.359,0.99636,0.93705,0.0084754,0.0084754,0.0084754
79,1.4193,1.0406,0.95747,0.44737,0.3374,0.33623,0.18916,1.3573,0.99415,0.93725,0.0084556,0.0084556,0.0084556
80,1.4123,1.0325,0.95492,0.43473,0.3405,0.33612,0.19022,1.3549,0.99391,0.9365,0.0084358,0.0084358,0.0084358
81,1.4,1.022,0.95558,0.44846,0.33423,0.33612,0.1899,1.3561,0.99226,0.93678,0.008416,0.008416,0.008416
82,1.4137,1.027,0.95596,0.43185,0.34028,0.3368,0.19048,1.3543,0.98871,0.93658,0.0083962,0.0083962,0.0083962
83,1.4035,1.0232,0.95425,0.43741,0.3426,0.33814,0.19098,1.3493,0.98647,0.93496,0.0083764,0.0083764,0.0083764
84,1.4132,1.0303,0.95234,0.43513,0.34484,0.33875,0.19151,1.3477,0.98373,0.93348,0.0083566,0.0083566,0.0083566
85,1.4139,1.0258,0.95292,0.43816,0.34467,0.33894,0.19207,1.3483,0.98403,0.93388,0.0083368,0.0083368,0.0083368
86,1.4044,1.0241,0.95163,0.43349,0.34781,0.34059,0.19271,1.3473,0.9833,0.93283,0.008317,0.008317,0.008317
87,1.4096,1.0201,0.95258,0.44426,0.34261,0.34275,0.19394,1.3461,0.98123,0.93279,0.0082972,0.0082972,0.0082972
88,1.3994,1.0136,0.95036,0.44893,0.34407,0.34359,0.19465,1.344,0.97909,0.93181,0.0082774,0.0082774,0.0082774
89,1.4103,1.0216,0.95177,0.44734,0.34925,0.34602,0.19603,1.3392,0.97783,0.92963,0.0082576,0.0082576,0.0082576
90,1.3958,1.0125,0.94987,0.44927,0.34849,0.34653,0.19587,1.338,0.9775,0.93039,0.0082378,0.0082378,0.0082378
91,1.3973,1.0108,0.94868,0.45445,0.349,0.34637,0.19611,1.3358,0.97432,0.9306,0.008218,0.008218,0.008218
92,1.3924,1.0094,0.94888,0.44924,0.35137,0.34691,0.19705,1.3344,0.97195,0.92964,0.0081982,0.0081982,0.0081982
93,1.3899,1.0068,0.94802,0.44558,0.35134,0.34647,0.19698,1.3355,0.97301,0.92954,0.0081784,0.0081784,0.0081784
94,1.3941,1.0106,0.94867,0.4457,0.35246,0.34822,0.19793,1.3312,0.96948,0.92816,0.0081586,0.0081586,0.0081586
95,1.3919,1.0067,0.94771,0.45369,0.34932,0.34988,0.19935,1.3303,0.96809,0.92788,0.0081388,0.0081388,0.0081388
96,1.3823,1.0002,0.94594,0.45891,0.34815,0.35041,0.20003,1.3296,0.96617,0.92719,0.008119,0.008119,0.008119
97,1.3837,0.99957,0.94606,0.44758,0.35219,0.35075,0.20089,1.3284,0.96497,0.92711,0.0080992,0.0080992,0.0080992
98,1.3929,1.0001,0.94482,0.43924,0.35492,0.35086,0.20065,1.3284,0.96474,0.92687,0.0080794,0.0080794,0.0080794
99,1.3793,0.99408,0.9436,0.45284,0.35087,0.35233,0.20143,1.3265,0.96438,0.92649,0.0080596,0.0080596,0.0080596
100,1.3704,0.98705,0.94271,0.45997,0.35065,0.35319,0.20175,1.3263,0.96308,0.92618,0.0080398,0.0080398,0.0080398
101,1.3776,0.99175,0.94112,0.44512,0.35756,0.35361,0.20223,1.3238,0.96182,0.92624,0.00802,0.00802,0.00802
102,1.3817,0.98772,0.94331,0.44876,0.35372,0.35334,0.2025,1.3228,0.9603,0.92607,0.0080002,0.0080002,0.0080002
103,1.3778,0.99221,0.94136,0.45151,0.35565,0.35469,0.20269,1.3221,0.9595,0.92547,0.0079804,0.0079804,0.0079804
104,1.3791,0.99311,0.94289,0.46105,0.35257,0.35579,0.20354,1.3203,0.95937,0.92489,0.0079606,0.0079606,0.0079606
105,1.3729,0.98425,0.93919,0.45899,0.35555,0.35637,0.20409,1.3183,0.95737,0.92456,0.0079408,0.0079408,0.0079408
106,1.3754,0.9856,0.93957,0.4566,0.35621,0.35731,0.20466,1.3175,0.95602,0.92411,0.007921,0.007921,0.007921
107,1.3732,0.98717,0.94074,0.45768,0.35527,0.35781,0.20478,1.3174,0.95572,0.92365,0.0079012,0.0079012,0.0079012
108,1.375,0.98421,0.94096,0.46065,0.35359,0.35866,0.20498,1.3175,0.95519,0.92348,0.0078814,0.0078814,0.0078814
109,1.3577,0.97149,0.93678,0.46021,0.35572,0.3585,0.20496,1.315,0.95335,0.92279,0.0078616,0.0078616,0.0078616
110,1.3669,0.97869,0.93744,0.4721,0.35248,0.3591,0.20507,1.3155,0.9516,0.92284,0.0078418,0.0078418,0.0078418
111,1.3663,0.97544,0.93719,0.47454,0.35284,0.35959,0.20598,1.3147,0.9507,0.92283,0.007822,0.007822,0.007822
112,1.364,0.97857,0.93611,0.47068,0.35579,0.36126,0.20643,1.3128,0.94901,0.92214,0.0078022,0.0078022,0.0078022
113,1.3658,0.9726,0.93532,0.47304,0.35357,0.36116,0.20665,1.3113,0.94873,0.92142,0.0077824,0.0077824,0.0077824
114,1.3564,0.96668,0.93335,0.46998,0.35647,0.36201,0.20693,1.3097,0.94817,0.92079,0.0077626,0.0077626,0.0077626
115,1.3566,0.96696,0.93346,0.46945,0.35696,0.36198,0.20754,1.3076,0.94674,0.92024,0.0077428,0.0077428,0.0077428
116,1.3555,0.96633,0.93268,0.4718,0.35681,0.36281,0.20804,1.3064,0.94439,0.91979,0.007723,0.007723,0.007723
117,1.3588,0.96674,0.93253,0.46461,0.36177,0.36347,0.20811,1.3057,0.9443,0.91952,0.0077032,0.0077032,0.0077032
118,1.3528,0.96245,0.93164,0.46622,0.36155,0.36358,0.20818,1.3039,0.94256,0.91884,0.0076834,0.0076834,0.0076834
119,1.3452,0.95996,0.9304,0.46381,0.36305,0.36412,0.20882,1.3022,0.94206,0.9185,0.0076636,0.0076636,0.0076636
120,1.3499,0.96252,0.93155,0.46825,0.36171,0.36447,0.20884,1.3018,0.94158,0.91825,0.0076438,0.0076438,0.0076438
121,1.3478,0.95856,0.92954,0.46896,0.36328,0.36492,0.2089,1.3012,0.94067,0.91829,0.007624,0.007624,0.007624
122,1.3432,0.95437,0.92831,0.47661,0.36306,0.36553,0.20937,1.3009,0.94015,0.9182,0.0076042,0.0076042,0.0076042
123,1.3394,0.95018,0.92841,0.47357,0.36339,0.36599,0.2101,1.2997,0.93959,0.91793,0.0075844,0.0075844,0.0075844
124,1.341,0.9548,0.92865,0.46766,0.36688,0.36673,0.21063,1.2988,0.93873,0.91762,0.0075646,0.0075646,0.0075646
125,1.3432,0.95214,0.92857,0.47178,0.36458,0.36654,0.21116,1.2975,0.93877,0.9176,0.0075448,0.0075448,0.0075448
126,1.3421,0.95333,0.9312,0.47133,0.3658,0.36705,0.21148,1.2967,0.93856,0.91737,0.007525,0.007525,0.007525
127,1.3349,0.94972,0.92674,0.46715,0.36643,0.36732,0.21148,1.2957,0.93735,0.91674,0.0075052,0.0075052,0.0075052
128,1.3393,0.94599,0.92512,0.46939,0.36764,0.36827,0.21197,1.2954,0.93653,0.91639,0.0074854,0.0074854,0.0074854
129,1.3373,0.94784,0.92707,0.46448,0.36928,0.36857,0.2121,1.2945,0.93564,0.91631,0.0074656,0.0074656,0.0074656
130,1.3372,0.94498,0.92549,0.46166,0.36961,0.3693,0.21248,1.2942,0.93449,0.91617,0.0074458,0.0074458,0.0074458
131,1.3405,0.94878,0.92843,0.45892,0.37209,0.36981,0.21288,1.293,0.93342,0.91571,0.007426,0.007426,0.007426
132,1.3326,0.94116,0.92412,0.45856,0.37437,0.37021,0.2136,1.2916,0.93274,0.91531,0.0074062,0.0074062,0.0074062
133,1.327,0.93978,0.92406,0.46212,0.3728,0.37071,0.21356,1.2902,0.93186,0.91493,0.0073864,0.0073864,0.0073864
134,1.3245,0.93539,0.92204,0.46581,0.37309,0.3715,0.2142,1.2897,0.93122,0.91476,0.0073666,0.0073666,0.0073666
135,1.331,0.938,0.92475,0.46114,0.37384,0.37184,0.21479,1.2887,0.93053,0.91434,0.0073468,0.0073468,0.0073468
136,1.3322,0.94214,0.92363,0.46293,0.37346,0.37226,0.21499,1.2876,0.92998,0.91404,0.007327,0.007327,0.007327
137,1.3291,0.934,0.92245,0.46606,0.37233,0.37258,0.21541,1.287,0.92909,0.91369,0.0073072,0.0073072,0.0073072
138,1.3246,0.9339,0.92163,0.46613,0.37288,0.37322,0.21603,1.2865,0.92873,0.9135,0.0072874,0.0072874,0.0072874
139,1.3265,0.93311,0.92157,0.46973,0.37249,0.37394,0.21588,1.2861,0.92851,0.91327,0.0072676,0.0072676,0.0072676
